Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,2.4,2.0,4.0,0.4,0.6,2.5888629098679377,52.55694065786886,10285.287996951494,42433.73358304701
Config1,2.4,2.0,4.0,0.4,0.8,161.34354236505885,3392.4232940386796,48592.01078526125,64399.87041817694
Config1,2.4,2.0,4.0,0.4,0.9,1715.099073915895,45958.54396676694,,
Config1,2.4,2.0,4.0,0.6,0.6,3.1047158789958798,85.7494961193303,15358.470079527855,49118.76307769768
Config1,2.4,2.0,4.0,0.6,0.8,3957.789274851765,35718.87367490829,,
Config1,2.4,2.0,4.0,0.6,0.9,5158.5395932408865,51552.953147035354,,
Config1,2.4,2.0,4.0,0.8,0.6,240.31649656923315,2376.6729208817815,57411.69202048153,66252.02275058597
Config1,2.4,2.0,4.0,0.8,0.8,6943.778996789424,45136.773200590236,,
Config1,2.4,2.0,4.0,0.8,0.9,7934.5651366506,54465.87455521075,,
Config1,2.4,2.0,5.0,0.4,0.6,2.5295525666137904,47.66673076130697,3820.316701084456,24271.9549255095
Config1,2.4,2.0,5.0,0.4,0.8,4.42419898855853,289.6629749502021,23145.683654863573,59884.794258334376
Config1,2.4,2.0,5.0,0.4,0.9,104.76564965543858,41089.38648667561,53699.348492854915,67418.33961936577
Config1,2.4,2.0,5.0,0.6,0.6,2.734629103092544,61.17019783375952,3987.8986021180644,24803.621965578022
Config1,2.4,2.0,5.0,0.6,0.8,1776.2366283162075,22506.707541913245,,
Config1,2.4,2.0,5.0,0.6,0.9,3212.6918261999217,48830.79052164773,,
Config1,2.4,2.0,5.0,0.8,0.6,3.3144102945575473,103.3602261993892,4181.447386746215,26449.042786524333
Config1,2.4,2.0,5.0,0.8,0.8,4654.636025183986,38617.21983902091,,
Config1,2.4,2.0,5.0,0.8,0.9,5830.982482399471,52714.132583204715,,
Config1,2.4,2.0,6.0,0.4,0.6,2.3615655939262967,44.029327175988904,8.076588096318632,646.4896569332868
Config1,2.4,2.0,6.0,0.4,0.8,3.631388487056016,184.7560085793983,14102.492464701209,53743.89261166774
Config1,2.4,2.0,6.0,0.4,0.9,20.24351196627506,34233.08469715362,35322.668763212954,65893.57883839117
Config1,2.4,2.0,6.0,0.6,0.6,2.3178161747543378,51.24921448677871,4.188178414464227,433.6107323681569
Config1,2.4,2.0,6.0,0.6,0.8,124.89125277488401,3010.0043647048083,46157.65157214227,65647.29218143696
Config1,2.4,2.0,6.0,0.6,0.9,1787.7413503299401,46075.12612772256,,
Config1,2.4,2.0,6.0,0.8,0.6,2.2491797543255534,65.09817571714979,3.2898865701456614,373.41889902866683
Config1,2.4,2.0,6.0,0.8,0.8,2840.845534344903,30043.493056628315,,
Config1,2.4,2.0,6.0,0.8,0.9,4190.82763429622,49745.24174667118,,
Config1,2.4,3.0,4.0,0.4,0.6,2.605702083038627,52.09682249301338,10355.020551790372,43043.06644172351
Config1,2.4,3.0,4.0,0.4,0.8,150.46029521986918,3353.655558208352,46455.357734433994,71586.69391510924
Config1,2.4,3.0,4.0,0.4,0.9,1752.0984915069012,45699.385887133954,,
Config1,2.4,3.0,4.0,0.6,0.6,3.0959686109628355,85.40509275740034,14947.148089553233,48813.25661245541
Config1,2.4,3.0,4.0,0.6,0.8,4010.6678796335423,35663.28801982356,,
Config1,2.4,3.0,4.0,0.6,0.9,5252.105489077205,51707.595996243115,,
Config1,2.4,3.0,4.0,0.8,0.6,244.77879572773594,2412.4089652190023,54744.95651120719,60456.19135894002
Config1,2.4,3.0,4.0,0.8,0.8,6955.694031052056,45168.60511644559,,
Config1,2.4,3.0,4.0,0.8,0.9,7988.33403893116,54504.9957563038,,
Config1,2.4,3.0,5.0,0.4,0.6,2.518262573033728,47.18197791929202,3883.0556045601456,24467.422468939047
Config1,2.4,3.0,5.0,0.4,0.8,4.405453359801225,305.52242312650634,23292.7818817232,59275.856640042155
Config1,2.4,3.0,5.0,0.4,0.9,150.98128763002913,40938.89116933866,56245.67671094958,65703.69954502501
Config1,2.4,3.0,5.0,0.6,0.6,2.703023245908243,60.1099744000132,3877.2180534492486,24358.328346954866
Config1,2.4,3.0,5.0,0.6,0.8,1786.5916162225308,22440.51755107257,,
Config1,2.4,3.0,5.0,0.6,0.9,3217.569936488428,48943.47158348183,,
Config1,2.4,3.0,5.0,0.8,0.6,3.2533364753203586,99.7649579438588,4752.87826853327,27099.05365083977
Config1,2.4,3.0,5.0,0.8,0.8,4641.654918260698,38401.75122852403,,
Config1,2.4,3.0,5.0,0.8,0.9,5828.404897728231,52460.38303284677,,
Config1,2.4,3.0,6.0,0.4,0.6,2.3413733313104084,44.77723789748634,8.593693960616257,749.2713698337693
Config1,2.4,3.0,6.0,0.4,0.8,3.653589169716951,188.26808467421165,14863.301140785608,54637.81353738573
