Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,2.4,2.0,6.0,0.8,0.8,2743.175622495027,29351.829710079888,,
Config1,2.4,2.0,6.0,0.8,0.9,4073.318212381295,49291.23542274409,,
Config1,2.4,3.0,4.0,0.4,0.6,2.578111994331055,51.30161325390143,10141.22966375773,42586.79927337122
Config1,2.4,3.0,4.0,0.4,0.8,111.9823281237318,2749.4966152211355,40964.175866997815,60614.22842205906
Config1,2.4,3.0,4.0,0.4,0.9,1606.6885633975232,45005.3358081247,,
Config1,2.4,3.0,4.0,0.6,0.6,3.05115632687782,82.87939172805824,14395.387831861119,47851.100137828835
Config1,2.4,3.0,4.0,0.6,0.8,3921.353633657682,35122.829053818714,,
Config1,2.4,3.0,4.0,0.6,0.9,5115.942402660354,51205.3234541318,,
Config1,2.4,3.0,4.0,0.8,0.6,166.7088555926468,1897.3096478700008,45344.781008052174,50418.74468627734
Config1,2.4,3.0,4.0,0.8,0.8,6856.638687828355,44654.807133485636,,
Config1,2.4,3.0,4.0,0.8,0.9,7839.839995418466,53875.72360512424,,
Config1,2.4,3.0,5.0,0.4,0.6,2.492784779686405,46.05869645274831,3713.3074988250446,23763.02410786163
Config1,2.4,3.0,5.0,0.4,0.8,4.2629406461393105,284.48510268411343,22303.472033425387,58202.64530753932
Config1,2.4,3.0,5.0,0.4,0.9,95.76531134534653,40259.13539990934,49840.5204383545,60671.99767944878
Config1,2.4,3.0,5.0,0.6,0.6,2.6840069954100523,58.73918768339091,3637.2100238785706,23323.82100302885
Config1,2.4,3.0,5.0,0.6,0.8,1689.264561457551,21525.687524445642,,
Config1,2.4,3.0,5.0,0.6,0.9,3097.273411923824,48323.133489171974,,
Config1,2.4,3.0,5.0,0.8,0.6,3.2046885195924375,95.69802682506699,4145.814906201696,25174.8517241164
Config1,2.4,3.0,5.0,0.8,0.8,4544.988864672542,37897.14377094537,,
Config1,2.4,3.0,5.0,0.8,0.9,5695.737713755475,51916.050944772265,,
