Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,queueLenNode1_U1:timeavg,queueLenNode1_U2:timeavg,queueLenSS1:timeavg,queueLenSS2:timeavg,CodaTotale_Nodo1,CodaTotale_Nodo2
Config1,2.4,2.0,4.0,0.4,0.6,0.6658346281883735,3875.9612754155946,0.1673326278287515,0.056683305827318856,3876.6271100437834,0.22401593365607037
Config1,2.4,2.0,4.0,0.4,0.8,75.8430164460274,8200.788356137471,12.654626444097245,0.0013471637611865027,8276.631372583497,12.655973607858432
Config1,2.4,2.0,4.0,0.4,0.9,978.8400789487459,8244.342494672785,1785.15909930093,0.0,9223.18257362153,1785.15909930093
Config1,2.4,2.0,4.0,0.6,0.6,2.147434134518295,3318.1446305891745,0.49006198833335957,0.01996146284159535,3320.2920647236933,0.5100234511749548
Config1,2.4,2.0,4.0,0.6,0.8,2745.31384984183,5516.89151252818,14.939035112275254,0.0,8262.205362370009,14.939035112275254
Config1,2.4,2.0,4.0,0.6,0.9,3647.270734920595,5506.03123116395,1870.2642123469748,0.0,9153.301966084546,1870.2642123469748
Config1,2.4,2.0,4.0,0.8,0.6,134.88089710744245,2698.3882775183147,1.12976961952612,0.00025140977168619516,2833.2691746257574,1.1300210292978061
Config1,2.4,2.0,4.0,0.8,0.8,5531.850558647095,2757.09421956826,12.862867017792485,0.0,8288.944778215355,12.862867017792485
Config1,2.4,2.0,4.0,0.8,0.9,6439.933605436025,2758.880289317,1813.4645783640499,0.0,9198.813894753024,1813.4645783640499
Config1,2.4,2.0,5.0,0.4,0.6,0.44545919067893003,1326.825894223875,0.09984741723675154,0.07906935887734909,1327.271353414554,0.17891677611410067
Config1,2.4,2.0,5.0,0.4,0.8,2.837825282819335,5761.3842182924545,2.0361632306950197,0.032154757795533354,5764.222043575274,2.0683179884905534
Config1,2.4,2.0,5.0,0.4,0.9,58.672679147841244,6570.62768263388,1652.5798711489301,0.001350966742978449,6629.300361781721,1652.5812221156732
Config1,2.4,2.0,5.0,0.6,0.6,1.01443204382007,910.303333218395,0.260021331225835,0.040499575093965054,911.3177652622151,0.30052090631980005
Config1,2.4,2.0,5.0,0.6,0.8,1102.6152067367905,4401.968931397931,14.76103373100992,0.0,5504.584138134721,14.76103373100992
Config1,2.4,2.0,5.0,0.6,0.9,2026.726321300165,4423.24301117312,1834.6735792250552,0.0,6449.969332473285,1834.6735792250552
Config1,2.4,2.0,5.0,0.8,0.6,2.9285958883399603,456.6248000829975,0.5781142689425021,0.0152620763986489,459.5533959713374,0.5933763453411509
Config1,2.4,2.0,5.0,0.8,0.8,3340.7613677586246,2211.16851648795,14.694118289035984,0.0,5551.929884246575,14.694118289035984
Config1,2.4,2.0,5.0,0.8,0.9,4259.17768454285,2186.65000004281,1781.309978368075,0.0,6445.82768458566,1781.309978368075
Config1,2.4,2.0,6.0,0.4,0.6,0.3245660935108835,14.808215742525155,0.0600062037882335,0.08344395563910159,15.13278183603604,0.1434501594273351
Config1,2.4,2.0,6.0,0.4,0.8,1.360419262689665,4020.8936856447554,0.9125881524485806,0.068263449313353,4022.254104907445,0.9808516017619334
