Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,queueLenNode1_U1:timeavg,queueLenNode1_U2:timeavg,queueLenSS1:timeavg,queueLenSS2:timeavg,CodaTotale_Nodo1,CodaTotale_Nodo2
Config1,2.4,2.0,4.0,0.4,0.6,0.6836579390676555,3933.8738499897972,0.17432075603756936,0.059015950550431254,3934.5468645528877,0.23080856616143647
Config1,2.4,2.0,4.0,0.4,0.8,104.22613031792802,8257.45228933456,14.542855166489712,0.0026107691284172063,8348.504584217371,14.543977877271129
Config1,2.4,2.0,4.0,0.4,0.9,1058.5200656241022,8286.310305237133,1876.0213918713803,0.0,9310.612866351097,1876.0213918713803
Config1,2.4,2.0,4.0,0.6,0.6,2.207314933824964,3378.281469931727,0.5052607207569394,0.021317234381603885,3380.471525103829,0.5249881330165214
Config1,2.4,2.0,4.0,0.6,0.8,2797.066458670283,5560.656265141061,17.32235356072394,0.0,8330.459976870101,17.32235356072394
Config1,2.4,2.0,4.0,0.6,0.9,3738.545574964412,5537.652316189767,1950.484414343151,0.0,9252.171886409144,1950.484414343151
Config1,2.4,2.0,4.0,0.8,0.6,177.16300443077745,2733.9776526107703,1.167953277341054,0.0004903650153040935,2894.7399617820897,1.1681036327909753
Config1,2.4,2.0,4.0,0.8,0.8,5590.379028784987,2775.595000088411,14.367734611652633,0.0,8354.425218459222,14.367734611652633
Config1,2.4,2.0,4.0,0.8,0.9,6530.576736866657,2772.212294555879,1891.006330354851,0.0,9286.258166058115,1891.006330354851
Config1,2.4,2.0,5.0,0.4,0.6,0.45374349034997075,1379.8689205057058,0.10349946153941185,0.08267244530378018,1380.3174088729577,0.18372390009335973
Config1,2.4,2.0,5.0,0.4,0.8,3.069211287291752,5791.764871530687,2.27208174649413,0.03575739319809826,5794.6156312520825,2.3017208556920856
Config1,2.4,2.0,5.0,0.4,0.9,76.75009985131209,6601.54370224004,1688.7820934004683,0.0020591953240015675,6662.263972511936,1688.783504466583
Config1,2.4,2.0,5.0,0.6,0.6,1.0463892219660227,959.2495699368371,0.270925020526254,0.042759776170094715,960.2754478742562,0.3112009723260499
Config1,2.4,2.0,5.0,0.6,0.8,1152.4258101268238,4431.788247742468,18.06693434643925,0.0,5562.635351852561,18.06693434643925
Config1,2.4,2.0,5.0,0.6,0.9,2092.5517031593945,4456.288231179475,1881.2971139519493,0.0,6528.732448401241,1881.2971139519493
Config1,2.4,2.0,5.0,0.8,0.6,3.1353696219620573,509.36319160765385,0.6034692791305476,0.016414842212082698,512.336155248196,0.618810672427319
