Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,2.4,2.0,4.0,0.4,0.6,2.550564344237428,50.66783065993504,9970.866769723729,41780.90553746378
Config1,2.4,2.0,4.0,0.4,0.8,57.55737873493077,1873.487429851662,14809.636178886185,19842.01424047059
Config1,2.4,2.0,4.0,0.4,0.9,1436.0235440025701,44259.064113570304,0.0,0.0
Config1,2.4,2.0,4.0,0.6,0.6,3.025819033566085,81.24357350727445,14184.203357639097,47166.28250064741
Config1,2.4,2.0,4.0,0.6,0.8,3738.817171179873,34436.512693716286,0.0,0.0
Config1,2.4,2.0,4.0,0.6,0.9,4864.2532096407485,50596.415151616384,0.0,0.0
Config1,2.4,2.0,4.0,0.8,0.6,90.80625984991599,1355.376396338589,3483.852428533375,4589.88688219046
Config1,2.4,2.0,4.0,0.8,0.8,6767.709669229047,44151.77269662381,0.0,0.0
Config1,2.4,2.0,4.0,0.8,0.9,7638.732172534216,53180.49654328774,0.0,0.0
Config1,2.4,2.0,5.0,0.4,0.6,2.47541770877672,46.062277817366315,3503.718477485819,22851.48799349344
Config1,2.4,2.0,5.0,0.4,0.8,4.1306461582658365,249.63571242455626,21287.857458976792,57323.06569287877
Config1,2.4,2.0,5.0,0.4,0.9,41.383691808903734,39697.84013862583,30969.434739683784,42010.745868250044
Config1,2.4,2.0,5.0,0.6,0.6,2.6656604845343357,58.40274001845057,3444.593262666898,22808.507657346665
Config1,2.4,2.0,5.0,0.6,0.8,1593.0678783044712,20845.89353565326,0.0,0.0
Config1,2.4,2.0,5.0,0.6,0.9,2942.521335225778,47704.656922559814,0.0,0.0
Config1,2.4,2.0,5.0,0.8,0.6,3.1888561226658534,93.44934873962957,3044.674656413285,21687.225411998137
Config1,2.4,2.0,5.0,0.8,0.8,4466.705127090317,37532.67986139258,0.0,0.0
Config1,2.4,2.0,5.0,0.8,0.9,5583.301611666779,51735.76778548455,0.0,0.0
Config1,2.4,2.0,6.0,0.4,0.6,2.282041656892393,41.76236521457039,6.092576279114192,423.2530194858764
Config1,2.4,2.0,6.0,0.4,0.8,3.4375343123645536,163.87966776188117,13233.690939165186,52070.750926488974
Config1,2.4,2.0,6.0,0.4,0.9,16.015465067490926,32173.993404505774,33336.67573427274,63923.48295515056
Config1,2.4,2.0,6.0,0.6,0.6,2.228746588983557,49.42135215032306,3.6282341514516183,317.5001005677513
