Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config1,3.0,2.0,6.0,0.6,0.8,6195.724772918666,34782.742621552796,9294.255259653419
Config1,3.0,2.0,6.0,0.6,0.9,18075.0727806354,36181.959745405846,20005.703287346296
Config1,3.0,2.0,6.0,0.8,0.6,23.86596099949165,96.5019702680035,38.44529446243678
Config1,3.0,2.0,6.0,0.8,0.8,11657.75321714795,35348.419405875,12899.457489861716
Config1,3.0,2.0,6.0,0.8,0.9,18807.975814918398,36629.0419969349,19764.289724194834
Config1,3.0,3.0,4.0,0.4,0.6,19.2417791399048,21430.376904551,9454.028331491403
Config1,3.0,3.0,4.0,0.4,0.8,6478.8509644796,42420.0533552566,10513.379665729391
Config1,3.0,3.0,4.0,0.4,0.9,17933.017258330197,43174.80457761405,20714.64527117877
Config1,3.0,3.0,4.0,0.6,0.6,30.22743758820595,26790.665312373247,5709.107264145512
Config1,3.0,3.0,4.0,0.6,0.8,12961.86719100385,48897.79706250455,13946.0668376504
Config1,3.0,3.0,4.0,0.6,0.9,18802.3365106233,49156.9889018187,19623.67082610279
Config1,3.0,3.0,4.0,0.8,0.6,568.8976266425345,50652.210415781,709.25129522209
Config1,3.0,3.0,4.0,0.8,0.8,17246.57028181745,,
Config1,3.0,3.0,4.0,0.8,0.9,20918.87588707115,,
Config1,3.0,3.0,5.0,0.4,0.6,17.27925165892255,10012.14695734998,5468.292680264729
Config1,3.0,3.0,5.0,0.4,0.8,359.5748771007175,36694.62025499245,6232.851282665394
Config1,3.0,3.0,5.0,0.4,0.9,16670.63221186705,39281.75812018055,19983.10482639077
Config1,3.0,3.0,5.0,0.6,0.6,21.92675074656695,9962.33654339912,3477.770766446931
Config1,3.0,3.0,5.0,0.6,0.8,10027.59205522195,40191.65113725595,12390.472932196555
Config1,3.0,3.0,5.0,0.6,0.9,18580.4024777682,40525.92518983,20241.41447239409
Config1,3.0,3.0,5.0,0.8,0.6,35.506663007118696,10153.689483011955,1735.6878066309698
Config1,3.0,3.0,5.0,0.8,0.8,13542.4677468915,45869.19922215521,13921.326336629276
Config1,3.0,3.0,5.0,0.8,0.9,18875.40573110675,48321.01250156052,19232.077894101672
Config1,3.0,3.0,6.0,0.4,0.6,15.9186904560242,209.59226946832823,132.1707098138286
Config1,3.0,3.0,6.0,0.4,0.8,88.08833057048885,28842.614015483898,8428.99863456071
Config1,3.0,3.0,6.0,0.4,0.9,14980.513175336551,36654.390568020855,18548.358434853006
Config1,3.0,3.0,6.0,0.6,0.6,18.6705772907648,110.5622653455141,55.472464611635395
Config1,3.0,3.0,6.0,0.6,0.8,6186.1122311822455,34611.01395035255,9237.158528644048
Config1,3.0,3.0,6.0,0.6,0.9,17942.91252189415,36742.90826401005,19965.05221765961
Config1,3.0,3.0,6.0,0.8,0.6,23.6000571719867,97.22728925413855,38.38587260328406
Config1,3.0,3.0,6.0,0.8,0.8,11733.5771516117,34996.958321455,12941.453855176644
Config1,3.0,3.0,6.0,0.8,0.9,18737.60659605755,36513.4442678986,19700.841640257728
Config1,3.0,4.0,4.0,0.4,0.6,19.2069577583351,21575.65531976885,9575.223892998356
Config1,3.0,4.0,4.0,0.4,0.8,6453.33564858033,42486.43545312335,10494.169192181458
Config1,3.0,4.0,4.0,0.4,0.9,18011.3088725529,42899.03274943595,20718.138547603634
Config1,3.0,4.0,4.0,0.6,0.6,30.9229164260799,26967.8683700816,5690.167101423705
Config1,3.0,4.0,4.0,0.6,0.8,12960.453957446949,48341.10259093965,13852.695546744484
Config1,3.0,4.0,4.0,0.6,0.9,18811.03634059465,49729.2912622928,19641.310742160644
Config1,3.0,4.0,4.0,0.8,0.6,569.9421991674285,51362.78355720308,758.3736761005506
Config1,3.0,4.0,4.0,0.8,0.8,17245.556484229302,,
Config1,3.0,4.0,4.0,0.8,0.9,20922.8380095169,,
Config1,3.0,4.0,5.0,0.4,0.6,17.25182024079,9744.638616066124,5306.878567851507
Config1,3.0,4.0,5.0,0.4,0.8,337.919725220531,36457.6131728669,6303.713458835487
Config1,3.0,4.0,5.0,0.4,0.9,16559.67257700425,39560.802084382754,19936.99769957293
Config1,3.0,4.0,5.0,0.6,0.6,22.325096835300098,10336.0461219345,3586.431372474645
Config1,3.0,4.0,5.0,0.6,0.8,10104.08726665011,39998.57862584865,12344.691072400263
Config1,3.0,4.0,5.0,0.6,0.9,18735.3813863401,40826.5488953058,20415.898234747674
Config1,3.0,4.0,5.0,0.8,0.6,36.3926679444121,10864.61972505717,1848.5578849028057
Config1,3.0,4.0,5.0,0.8,0.8,13491.697940701051,48876.98116299115,13877.854661037723
Config1,3.0,4.0,5.0,0.8,0.9,18661.930144913502,49139.443180542316,19032.784764481403
Config1,3.0,4.0,6.0,0.4,0.6,16.0316268305964,166.79791306651646,106.53408962978867
Config1,3.0,4.0,6.0,0.4,0.8,86.2672338747975,29240.537959385303,8436.288251082004
Config1,3.0,4.0,6.0,0.4,0.9,14849.58898611555,36676.6398748222,18440.291933177865
Config1,3.0,4.0,6.0,0.6,0.6,18.657520513036452,118.43079480475201,58.712665786075
Config1,3.0,4.0,6.0,0.6,0.8,6486.58043905113,34586.6247705806,9558.481336028774
Config1,3.0,4.0,6.0,0.6,0.9,18135.5666727156,36173.68862249615,20135.15237477749
Config1,3.0,4.0,6.0,0.8,0.6,23.3782405041217,92.5240309891057,37.222647012391285
Config1,3.0,4.0,6.0,0.8,0.8,11627.54634251705,34698.10109542555,12877.43566575953
Config1,3.0,4.0,6.0,0.8,0.9,18696.50415075975,36331.94451082735,19639.448236302407
Config1,3.5,2.0,4.0,0.4,0.6,21.92583582981415,21503.71210630805,9508.081901944814
Config1,3.5,2.0,4.0,0.4,0.8,9724.72300519297,37528.55138619135,15028.919881121907
Config1,3.5,2.0,4.0,0.4,0.9,18556.77850412895,38842.2695993503,22446.50746430881
Config1,3.5,2.0,4.0,0.6,0.6,40.03613999019535,27221.948707012,5750.240848840424
Config1,3.5,2.0,4.0,0.6,0.8,14092.2128672952,39252.8003106274,16744.33408006494
Config1,3.5,2.0,4.0,0.6,0.9,18795.748633740797,40037.795286153,20998.426488313216
Config1,3.5,2.0,4.0,0.8,0.6,1693.4103769473306,43906.231775541,2557.955348069381
Config1,3.5,2.0,4.0,0.8,0.8,15113.80672579085,46205.7766913506,15785.912430432214
Config1,3.5,2.0,4.0,0.8,0.9,18285.444154832698,45847.5332394516,18954.005248288624
Config1,3.5,2.0,5.0,0.4,0.6,19.003489225566,10067.23444967939,5489.13009782864
Config1,3.5,2.0,5.0,0.4,0.8,4235.240737593725,33349.1645459582,10882.913442622537
Config1,3.5,2.0,5.0,0.4,0.9,17643.38993455335,35797.61929365345,21774.64411059797
Config1,3.5,2.0,5.0,0.6,0.6,26.233603946589852,10301.38131172847,3569.3576538858033
Config1,3.5,2.0,5.0,0.6,0.8,12322.8876564222,32938.238593783,15600.5937701616
Config1,3.5,2.0,5.0,0.6,0.9,18624.531400232903,35459.3640751751,21257.308258100922
Config1,3.5,2.0,5.0,0.8,0.6,51.194709359006204,10714.953760222616,1796.3378161207188
Config1,3.5,2.0,5.0,0.8,0.8,14320.907252018049,31632.503351056097,15853.395971066799
Config1,3.5,2.0,5.0,0.8,0.9,18740.6806395612,34058.52657811445,20075.45087544247
Config1,3.5,2.0,6.0,0.4,0.6,17.587679405811,181.2900343595085,115.82718306598565
Config1,3.5,2.0,6.0,0.4,0.8,269.5070745157395,29356.041993158397,8414.960573097083
Config1,3.5,2.0,6.0,0.4,0.9,16589.74036298065,33495.8989485786,20755.93837921542
Config1,3.5,2.0,6.0,0.6,0.6,21.510023346524598,107.4741910861508,55.664859082483815
Config1,3.5,2.0,6.0,0.6,0.8,9641.975108394035,29172.667826052202,13433.265315327057
Config1,3.5,2.0,6.0,0.6,0.9,18604.673435723,32277.859900978954,21200.305837700213
Config1,3.5,2.0,6.0,0.8,0.6,28.968170326005048,89.41762628218609,41.058088834520774
Config1,3.5,2.0,6.0,0.8,0.8,13194.12065855455,24469.99834683085,14678.097099544995
Config1,3.5,2.0,6.0,0.8,0.9,18700.28998372135,29285.6404068132,20085.44448788079
Config1,3.5,3.0,4.0,0.4,0.6,21.663480881887303,21244.2310508382,9491.4586343279
Config1,3.5,3.0,4.0,0.4,0.8,9723.936911949164,37432.9430327169,14955.294254634358
Config1,3.5,3.0,4.0,0.4,0.9,18642.396004807648,38607.30819342835,22569.61489009316
Config1,3.5,3.0,4.0,0.6,0.6,41.34472210100465,27008.49425845425,5667.971301389423
Config1,3.5,3.0,4.0,0.6,0.8,14172.03362406585,39289.26834582525,16795.752966423865
Config1,3.5,3.0,4.0,0.6,0.9,18840.06099552665,40376.59871709625,21079.26300015459
Config1,3.5,3.0,4.0,0.8,0.6,1653.5788780243952,46058.645067458056,2703.757919446268
Config1,3.5,3.0,4.0,0.8,0.8,15210.325207668498,44444.68669855925,15835.36912276455
Config1,3.5,3.0,4.0,0.8,0.9,18337.7913481644,44539.9175645227,18946.756233818716
Config1,3.5,3.0,5.0,0.4,0.6,19.13886769764805,10201.51888016288,5563.899214899767
Config1,3.5,3.0,5.0,0.4,0.8,4568.790452864505,33693.7672355232,11241.914660388546
Config1,3.5,3.0,5.0,0.4,0.9,17626.87947693555,35621.48357085245,21748.382160200323
Config1,3.5,3.0,5.0,0.6,0.6,26.621909689798503,10279.729592398775,3576.0836093560565
Config1,3.5,3.0,5.0,0.6,0.8,12251.4365836499,33410.283927438046,15556.997609909475
Config1,3.5,3.0,5.0,0.6,0.9,18593.89222644335,35337.97133723875,21254.431062574662
Config1,3.5,3.0,5.0,0.8,0.6,50.4157746678678,10878.117317290937,1827.7084488081969
Config1,3.5,3.0,5.0,0.8,0.8,14481.95560201825,31657.6763177467,15996.31756664009
Config1,3.5,3.0,5.0,0.8,0.9,18771.834826109352,34152.09894072375,20117.096975692446
Config1,3.5,3.0,6.0,0.4,0.6,17.57085545530535,156.48717943613616,100.76605273491114
Config1,3.5,3.0,6.0,0.4,0.8,269.353623173929,29374.34642562145,8481.303430925345
Config1,3.5,3.0,6.0,0.4,0.9,16590.8682808792,33159.84992021485,20717.272845330866
Config1,3.5,3.0,6.0,0.6,0.6,21.532854330723,119.15059153708685,60.52211179281922
Config1,3.5,3.0,6.0,0.6,0.8,9794.536342816185,29273.17671856605,13518.11320923911
Config1,3.5,3.0,6.0,0.6,0.9,18704.61948348635,32334.727272304102,21303.622955082246
Config1,3.5,3.0,6.0,0.8,0.6,29.18577012406475,83.68724782505396,40.11619192663067
Config1,3.5,3.0,6.0,0.8,0.8,13120.36052949065,24713.6556143847,14663.924734551987
Config1,3.5,3.0,6.0,0.8,0.9,18828.0615090378,29399.397785937548,20261.295516977054
Config1,3.5,4.0,4.0,0.4,0.6,22.27593122804345,21341.5668543133,9461.10283140384
Config1,3.5,4.0,4.0,0.4,0.8,9760.012326160995,37456.6414095893,15031.64901139415
Config1,3.5,4.0,4.0,0.4,0.9,18652.668798596053,38827.248785046206,22499.96249969984
Config1,3.5,4.0,4.0,0.6,0.6,41.32901609048595,27004.950531422848,5665.296008417177
Config1,3.5,4.0,4.0,0.6,0.8,14249.782538454052,39117.25271274365,16844.909966132116
Config1,3.5,4.0,4.0,0.6,0.9,18980.831189688302,40361.63492773225,21240.741063326575
Config1,3.5,4.0,4.0,0.8,0.6,1686.9139751960931,43744.240937949406,2596.6004280682223
Config1,3.5,4.0,4.0,0.8,0.8,15153.56068997835,44508.054305681304,15813.301652841128
Config1,3.5,4.0,4.0,0.8,0.9,18268.7176687351,45740.703986193505,18836.111714326707
Config1,3.5,4.0,5.0,0.4,0.6,19.0189484806092,9882.684605477854,5374.296093123215
Config1,3.5,4.0,5.0,0.4,0.8,4562.7253062839645,33447.91357770975,11086.900439264742
Config1,3.5,4.0,5.0,0.4,0.9,17637.058665867302,35241.4725866885,21653.15122746257
Config1,3.5,4.0,5.0,0.6,0.6,26.91872980674525,9859.10168486029,3397.1566732405795
Config1,3.5,4.0,5.0,0.6,0.8,12254.6432925067,32999.70825665815,15541.506678145955
Config1,3.5,4.0,5.0,0.6,0.9,18771.7680335113,35094.17775971785,21355.635571346043
Config1,3.5,4.0,5.0,0.8,0.6,52.65130281677254,10321.31142457627,1729.8018911826427
Config1,3.5,4.0,5.0,0.8,0.8,14409.1161757833,31532.454852344352,15926.047686398078
Config1,3.5,4.0,5.0,0.8,0.9,18683.3021189629,33779.398880600704,20022.46836450464
Config1,3.5,4.0,6.0,0.4,0.6,17.4688985392007,185.759151384195,118.29031349479757
Config1,3.5,4.0,6.0,0.4,0.8,246.84354078436348,29215.28268923525,8417.535185173547
Config1,3.5,4.0,6.0,0.4,0.9,16418.1044114052,33471.10056269145,20696.206021718026
Config1,3.5,4.0,6.0,0.6,0.6,21.58460838392445,120.2325717593747,61.07210829107258
Config1,3.5,4.0,6.0,0.6,0.8,9798.94273607629,28976.47421042955,13464.898478265017
Config1,3.5,4.0,6.0,0.6,0.9,18520.9485289233,32278.327956599853,21164.988187341507
Config1,3.5,4.0,6.0,0.8,0.6,30.31850115535615,97.98399196605465,43.87353663832081
Config1,3.5,4.0,6.0,0.8,0.8,13271.04358860855,24278.1801597576,14737.411607031016
Config1,3.5,4.0,6.0,0.8,0.9,18667.8930565869,29848.5187970771,20115.74413781779
Config2,2.4,2.0,4.0,0.4,0.6,33.3915522053793,36290.3396567549,8916.336400701499
Config2,2.4,2.0,4.0,0.4,0.8,14963.8827725869,,
Config2,2.4,2.0,4.0,0.4,0.9,24792.424723376498,,
Config2,2.4,2.0,4.0,0.6,0.6,5868.15840744542,,
Config2,2.4,2.0,4.0,0.6,0.8,22579.8080844125,,
Config2,2.4,2.0,4.0,0.6,0.9,28419.5862259122,,
Config2,2.4,2.0,4.0,0.8,0.6,15680.732460764699,,
Config2,2.4,2.0,4.0,0.8,0.8,26655.015420267453,,
