Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config1,2.4,3.0,6.0,0.6,0.8,551.6100319573875,22686.056478744547,973.3971155380241
Config1,2.4,3.0,6.0,0.6,0.9,17864.194091470057,0.0,17864.194091470057
Config1,2.4,3.0,6.0,0.8,0.6,19.675305660464563,87.44586703970761,33.29555445649848
Config1,2.4,3.0,6.0,0.8,0.8,11575.709717654268,0.0,11575.709717654268
Config1,2.4,3.0,6.0,0.8,0.9,21485.315936820756,0.0,21485.315936820756
Config1,2.4,4.0,4.0,0.4,0.6,16.564048005253458,21236.528883095994,9397.15384437749
Config1,2.4,4.0,4.0,0.4,0.8,571.2249330508328,13392.578118900754,1037.3895930881858
Config1,2.4,4.0,4.0,0.4,0.9,17775.294770450095,0.0,17775.294770450095
Config1,2.4,4.0,4.0,0.6,0.6,24.717786626517,26493.290319821655,5582.910444618193
Config1,2.4,4.0,4.0,0.6,0.8,14662.248506022275,0.0,14662.248506022275
Config1,2.4,4.0,4.0,0.6,0.9,22687.072976039468,0.0,22687.072976039468
Config1,2.4,4.0,4.0,0.8,0.6,403.2492595972552,14321.898607867022,657.6562652632451
Config1,2.4,4.0,4.0,0.8,0.8,20433.46813512001,0.0,20433.46813512001
Config1,2.4,4.0,4.0,0.8,0.9,25421.981273968595,0.0,25421.981273968595
Config1,2.4,4.0,5.0,0.4,0.6,15.106352843589413,9533.774432071767,5218.802729124506
Config1,2.4,4.0,5.0,0.4,0.8,76.72873503172954,35513.96017010913,5824.760692615187
Config1,2.4,4.0,5.0,0.4,0.9,14273.573415795385,18196.263979412754,14366.742735562395
Config1,2.4,4.0,5.0,0.6,0.6,18.656426666045864,9312.441293081047,3277.0892454309055
Config1,2.4,4.0,5.0,0.6,0.8,7999.546109275074,0.0,7999.546109275074
Config1,2.4,4.0,5.0,0.6,0.9,20255.248669054494,0.0,20255.248669054494
Config1,2.4,4.0,5.0,0.8,0.6,28.59267199101817,9738.023178882228,1644.6675600228577
Config1,2.4,4.0,5.0,0.8,0.8,16336.088664202467,0.0,16336.088664202467
Config1,2.4,4.0,5.0,0.8,0.9,23420.49526016515,0.0,23420.49526016515
Config1,2.4,4.0,6.0,0.4,0.6,14.18806827073013,155.6463309658335,99.05262312344865
Config1,2.4,4.0,6.0,0.4,0.8,52.23016597501347,28694.439777274012,8147.708460973388
Config1,2.4,4.0,6.0,0.4,0.9,11483.801695903854,48656.46797527017,12551.220703191597
Config1,2.4,4.0,6.0,0.6,0.6,16.125833535234076,102.92005960169993,50.990370921859714
Config1,2.4,4.0,6.0,0.6,0.8,674.7195730126829,14409.69846452507,997.9226845033743
Config1,2.4,4.0,6.0,0.6,0.9,17709.854335334203,0.0,17709.854335334203
Config1,2.4,4.0,6.0,0.8,0.6,19.338397772483805,88.55380147878977,33.28774485702939
Config1,2.4,4.0,6.0,0.8,0.8,11643.376686981228,0.0,11643.376686981228
Config1,2.4,4.0,6.0,0.8,0.9,21392.861364858774,0.0,21392.861364858774
Config1,3.0,2.0,4.0,0.4,0.6,18.91969588012252,21230.25829308443,9448.63305483957
Config1,3.0,2.0,4.0,0.4,0.8,6107.087974469972,42009.94103777363,10033.983107361717
Config1,3.0,2.0,4.0,0.4,0.9,17980.36766676736,42398.72282254227,20730.554314048022
